date,open,high,low,close
1612922400000,3.19000000,3.37000000,3.10820000,3.11090000
1612926000000,3.10830000,3.29500000,3.05000000,3.22200000
1612929600000,3.22110000,3.31650000,2.72360000,2.79990000
1612933200000,2.79990000,3.09000000,2.69000000,2.85030000
1612936800000,2.85030000,2.88000000,2.63330000,2.74410000
1612940400000,2.74340000,3.48990000,2.71000000,3.40750000
1612944000000,3.40740000,3.44000000,3.05110000,3.28580000
1612947600000,3.28580000,3.40000000,3.14140000,3.14710000
1612951200000,3.14690000,3.24980000,3.05360000,3.12790000
1612954800000,3.12790000,3.12790000,2.87680000,3.01100000
1612958400000,3.01050000,3.10000000,2.55000000,2.79480000
1612962000000,2.78680000,2.96980000,2.74110000,2.86720000
1612965600000,2.86710000,2.96490000,2.58000000,2.62550000
1612969200000,2.62550000,2.68990000,2.42110000,2.62420000
1612972800000,2.62280000,2.76530000,2.50600000,2.68910000
1612976400000,2.68910000,2.77360000,2.55400000,2.77360000
1612980000000,2.77070000,2.94000000,2.74000000,2.74500000
1612983600000,2.74100000,2.85000000,2.64170000,2.65450000
1612987200000,2.65410000,2.68680000,2.45600000,2.45940000
1612990800000,2.45940000,2.63800000,2.40000000,2.50670000
1612994400000,2.50680000,2.60000000,2.47390000,2.53590000
1612998000000,2.54050000,2.55270000,2.43550000,2.47880000
1613001600000,2.47750000,2.78900000,2.46990000,2.57570000
1613005200000,2.57500000,2.67800000,2.55000000,2.61530000
1613008800000,2.61530000,2.73000000,2.61290000,2.73000000
1613012400000,2.73000000,2.73000000,2.73000000,2.73000000
1613019600000,2.72370000,2.77000000,2.61000000,2.61500000
1613023200000,2.61510000,2.70000000,2.57000000,2.63460000
1613026800000,2.63690000,2.65000000,2.55000000,2.59790000
1613030400000,2.59800000,2.72000000,2.59710000,2.71990000
1613034000000,2.71990000,2.98390000,2.68000000,2.84100000
1613037600000,2.84900000,2.94500000,2.78130000,2.93310000
1613041200000,2.93400000,2.97000000,2.74500000,2.75000000
1613044800000,2.74520000,2.92250000,2.74240000,2.83480000
1613048400000,2.83460000,2.89000000,2.76000000,2.79350000
1613052000000,2.79060000,2.83000000,2.78820000,2.82700000
1613055600000,2.82750000,2.82750000,2.70260000,2.72600000
1613059200000,2.72980000,2.74770000,2.60700000,2.64020000
1613062800000,2.64020000,2.75000000,2.61120000,2.68210000
1613066400000,2.68210000,2.68500000,2.62570000,2.63000000
1613070000000,2.62950000,2.68890000,2.62500000,2.68360000
1613073600000,2.68900000,2.79310000,2.63470000,2.63550000
1613077200000,2.63550000,2.72000000,2.63000000,2.68770000
1613080800000,2.68770000,2.69710000,2.64000000,2.65870000
1613084400000,2.65020000,2.68000000,2.62000000,2.67710000
1613088000000,2.67990000,2.69990000,2.65000000,2.69290000
1613091600000,2.68990000,2.83950000,2.67660000,2.81000000
1613095200000,2.81000000,2.82790000,2.68000000,2.71090000
1613098800000,2.71090000,2.75000000,2.66000000,2.68780000
1613102400000,2.68790000,2.69500000,2.65000000,2.67990000
1613106000000,2.67800000,2.74000000,2.66780000,2.72180000
1613109600000,2.72200000,2.77000000,2.69670000,2.70000000
1613113200000,2.70010000,2.74750000,2.69600000,2.73600000
1613116800000,2.73020000,2.75040000,2.71300000,2.74500000
1613120400000,2.74550000,2.93630000,2.72000000,2.90000000
1613124000000,2.89560000,2.91990000,2.77500000,2.80810000
1613127600000,2.81170000,2.81960000,2.75000000,2.77400000
1613131200000,2.77400000,2.78210000,2.72700000,2.75520000
1613134800000,2.75430000,2.78500000,2.71500000,2.76060000
1613138400000,2.76120000,2.79990000,2.60000000,2.65000000
1613142000000,2.65100000,2.73000000,2.63660000,2.72700000
1613145600000,2.72010000,2.73000000,2.66660000,2.69690000
1613149200000,2.69500000,2.75000000,2.69000000,2.73300000
1613152800000,2.73300000,2.75500000,2.67500000,2.75500000
1613156400000,2.75500000,2.81000000,2.71340000,2.74560000
1613160000000,2.74560000,2.75210000,2.67000000,2.72400000
1613163600000,2.72350000,2.72830000,2.69050000,2.69940000
1613167200000,2.69940000,2.73000000,2.69570000,2.71960000
1613170800000,2.71950000,2.75900000,2.69750000,2.73200000
1613174400000,2.73250000,2.80520000,2.72010000,2.78200000
1613178000000,2.77990000,2.78500000,2.72530000,2.73490000
1613181600000,2.73060000,2.79990000,2.72000000,2.78900000
1613185200000,2.78900000,2.85000000,2.76400000,2.83740000
1613188800000,2.84210000,2.85000000,2.75000000,2.84270000
1613192400000,2.84250000,2.84280000,2.76070000,2.78600000
1613196000000,2.79300000,2.80390000,2.76380000,2.78310000
1613199600000,2.78310000,2.79000000,2.72010000,2.72510000
1613203200000,2.72510000,2.78560000,2.71100000,2.76900000
1613206800000,2.76820000,2.78660000,2.71900000,2.72000000
1613210400000,2.72000000,2.72500000,2.65000000,2.66000000
1613214000000,2.65900000,2.67770000,2.51000000,2.60590000
1613217600000,2.60400000,2.65000000,2.55000000,2.59940000
1613221200000,2.59900000,2.64000000,2.55540000,2.60980000
1613224800000,2.60980000,2.63500000,2.56480000,2.61790000
1613228400000,2.61480000,2.74300000,2.61460000,2.70010000
1613232000000,2.70020000,2.70350000,2.62340000,2.62950000
1613235600000,2.62990000,2.64300000,2.60010000,2.61010000
1613239200000,2.61010000,2.63200000,2.60000000,2.60800000
1613242800000,2.60540000,2.60800000,2.56000000,2.58170000
1613246400000,2.58290000,2.58840000,2.51560000,2.55000000
1613250000000,2.55850000,2.58000000,2.53200000,2.57410000
1613253600000,2.57410000,2.63000000,2.57000000,2.61820000
1613257200000,2.61310000,2.64000000,2.59810000,2.62000000
1613260800000,2.62000000,2.62300000,2.58760000,2.59800000
1613264400000,2.59810000,2.72910000,2.56000000,2.70910000
1613268000000,2.70600000,2.90000000,2.70500000,2.78400000
1613271600000,2.78160000,2.97000000,2.78160000,2.96500000
1613275200000,2.96210000,3.31490000,2.96190000,3.23740000
1613278800000,3.23500000,3.40000000,2.90850000,3.00210000
1613282400000,3.00230000,3.20000000,2.91000000,3.12680000
1613286000000,3.13030000,3.13910000,2.95870000,2.96500000
