date,open,high,low,close,vol,close_time,quote_vol
1618222500000,32.84940000,32.89720000,32.63260000,32.74700000,65564.10000000,1618223399999,2148105.14365400
1618223400000,32.75070000,32.81580000,32.23020000,32.40070000,89610.92000000,1618224299999,2910380.86344200
1618224300000,32.37420000,32.73030000,32.31720000,32.67770000,55275.91000000,1618225199999,1801821.78473700
1618225200000,32.67740000,32.84540000,32.62480000,32.82490000,48608.68000000,1618226099999,1590488.12813500
1618226100000,32.82180000,32.83940000,32.68910000,32.74060000,43352.16000000,1618226999999,1420555.70939800
1618227000000,32.74440000,32.91010000,32.64010000,32.85360000,40880.68000000,1618227899999,1341744.77915700
1618227900000,32.85360000,32.90490000,32.76490000,32.84270000,37823.58000000,1618228799999,1242173.46892800
1618228800000,32.84940000,32.88090000,32.73720000,32.83820000,65803.42000000,1618229699999,2157813.40094200
1618229700000,32.83800000,32.86140000,32.67230000,32.75080000,34082.51000000,1618230599999,1116254.63062200
1618230600000,32.75250000,33.04430000,32.74010000,32.94430000,46004.39000000,1618231499999,1514824.46235400
1618231500000,32.93720000,32.94520000,32.79950000,32.84260000,28072.21000000,1618232399999,922708.61763400
1618232400000,32.84260000,33.04480000,32.82280000,32.90000000,41129.72000000,1618233299999,1355311.74230500
1618233300000,32.91260000,32.92220000,32.76460000,32.88020000,31320.96000000,1618234199999,1028344.47703900
1618234200000,32.88000000,33.08140000,32.86970000,33.05550000,37600.32000000,1618235099999,1239695.31815400
1618235100000,33.06170000,33.07810000,32.89490000,32.89880000,21656.54000000,1618235999999,713995.04160900
1618236000000,32.90100000,32.92990000,32.70010000,32.78960000,24170.50000000,1618236899999,792795.11245100
1618236900000,32.79180000,32.85690000,32.68650000,32.79560000,36465.83000000,1618237799999,1195174.39774500
1618237800000,32.79420000,32.83220000,32.63340000,32.65060000,37493.82000000,1618238699999,1226208.73546700
1618238700000,32.65070000,32.74380000,32.40000000,32.40000000,44112.21000000,1618239599999,1437647.59516800
1618239600000,32.40000000,32.57070000,32.00720000,32.16730000,134138.96000000,1618240499999,4325067.67942100
1618240500000,32.16600000,32.37030000,32.12840000,32.19790000,51152.28000000,1618241399999,1648844.61972600
1618241400000,32.19640000,32.36580000,32.00740000,32.36580000,55290.91000000,1618242299999,1779461.37589500
1618242300000,32.36580000,32.41230000,32.21000000,32.21530000,35071.08000000,1618243199999,1133829.39984100
1618243200000,32.21470000,32.23010000,31.86010000,32.19730000,117740.60000000,1618244099999,3772974.34031900
1618244100000,32.18940000,32.49860000,32.18700000,32.40230000,63452.47000000,1618244999999,2054925.20354400
1618245000000,32.41120000,32.53050000,32.36050000,32.45840000,37062.34000000,1618245899999,1203445.19743600
1618245900000,32.45820000,32.53170000,32.38410000,32.48520000,35452.11000000,1618246799999,1151208.49039400
1618246800000,32.49200000,32.59340000,32.36610000,32.58860000,36178.31000000,1618247699999,1175362.07174400
1618247700000,32.58870000,32.60900000,32.44230000,32.50130000,38032.71000000,1618248599999,1237437.83983900
1618248600000,32.49440000,32.57690000,32.44460000,32.44460000,35260.27000000,1618249499999,1145991.77004900
1618249500000,32.44340000,32.56500000,32.39990000,32.49810000,42310.57000000,1618250399999,1374964.63205800
1618250400000,32.49310000,32.69910000,32.40990000,32.68250000,36777.47000000,1618251299999,1197024.10206800
1618251300000,32.68210000,32.70340000,32.53130000,32.61740000,32997.65000000,1618252199999,1076858.63646600
1618252200000,32.60480000,32.73850000,32.56000000,32.72630000,22403.14000000,1618253099999,731925.05327000
1618253100000,32.72560000,32.79010000,32.68750000,32.74200000,36069.45000000,1618253999999,1181108.46745400
1618254000000,32.74190000,32.84370000,32.66760000,32.76280000,44137.01000000,1618254899999,1446840.38597200
1618254900000,32.75800000,32.91800000,32.75080000,32.80860000,50326.79000000,1618255799999,1651900.46866000
1618255800000,32.80860000,32.89790000,32.75160000,32.81860000,32639.11000000,1618256699999,1071286.10594100
1618256700000,32.82000000,32.95000000,32.80190000,32.92020000,26156.28000000,1618257599999,860341.86934600
1618257600000,32.92490000,32.96660000,32.83230000,32.92080000,28490.97000000,1618258499999,937217.24884500
1618258500000,32.92090000,33.08160000,32.87580000,33.01460000,54816.12000000,1618259399999,1808764.30007600
1618259400000,33.01460000,33.09140000,32.96830000,33.03070000,32677.25000000,1618260299999,1079454.30734400
1618260300000,33.02560000,33.27410000,32.96920000,33.23760000,48177.71000000,1618261199999,1596761.67244400
1618261200000,33.24350000,33.52420000,33.11860000,33.24060000,98466.55000000,1618262099999,3280870.35795600
1618262100000,33.23470000,33.29420000,32.96970000,33.10000000,30001.53000000,1618262999999,992927.77663300
1618263000000,33.08650000,33.15900000,32.97460000,33.10000000,31339.30000000,1618263899999,1037121.93900900
1618263900000,33.10000000,33.21180000,33.02790000,33.14660000,29422.39000000,1618264799999,974626.17683900
1618264800000,33.14720000,33.17120000,32.99700000,33.05250000,18830.49000000,1618265699999,622382.52342500
1618265700000,33.05610000,33.09590000,32.84960000,33.04570000,77175.88000000,1618266599999,2545528.65840100
1618266600000,33.04590000,33.33680000,33.04590000,33.30840000,29352.30000000,1618267499999,974526.85287200
1618267500000,33.29740000,33.39000000,33.25000000,33.31620000,32921.06000000,1618268399999,1097175.23526000
1618268400000,33.33190000,33.37410000,33.16490000,33.27180000,26563.43000000,1618269299999,883664.81062500
1618269300000,33.27410000,33.27960000,33.05820000,33.08750000,34946.32000000,1618270199999,1158726.05137600
1618270200000,33.08660000,33.18420000,33.00760000,33.10700000,29433.13000000,1618271099999,974580.94304700
1618271100000,33.10700000,33.26010000,33.08470000,33.10800000,25797.71000000,1618271999999,855606.62079400
1618272000000,33.10230000,33.39800000,33.01230000,33.36800000,42330.63000000,1618272899999,1405895.52240000
1618272900000,33.36590000,33.38940000,33.20030000,33.22320000,27916.23000000,1618273799999,929256.94778500
1618273800000,33.22180000,33.22980000,33.06980000,33.15470000,27647.78000000,1618274699999,915890.25662300
1618274700000,33.15470000,33.16690000,33.00030000,33.11960000,45134.63000000,1618275599999,1492588.69466700
1618275600000,33.11380000,33.22870000,33.09900000,33.19710000,16632.90000000,1618276499999,551864.39338200
1618276500000,33.18780000,33.18780000,33.04940000,33.12420000,21442.29000000,1618277399999,710395.43419600
1618277400000,33.12460000,33.16660000,33.04920000,33.05000000,24373.48000000,1618278299999,806572.00068900
1618278300000,33.04590000,33.09740000,32.97180000,32.99430000,34086.33000000,1618279199999,1125889.76842400
1618279200000,32.99830000,33.07170000,32.94050000,33.04860000,28113.16000000,1618280099999,927971.56510400
1618280100000,33.04890000,33.08470000,32.94460000,32.95910000,26375.86000000,1618280999999,870644.89161100
1618281000000,32.94900000,33.03340000,32.93680000,32.95790000,18512.41000000,1618281899999,610363.46765700
1618281900000,32.96160000,33.00170000,32.88000000,32.93850000,13778.05000000,1618282799999,453957.80506100
1618282800000,32.93810000,33.04460000,32.85180000,32.90480000,28653.18000000,1618283699999,943945.17220000
1618283700000,32.90000000,32.98050000,32.86130000,32.92320000,19463.95000000,1618284599999,640665.62895300
1618284600000,32.92320000,33.09100000,32.92240000,32.94330000,20399.54000000,1618285499999,673624.08763000
1618285500000,32.94050000,32.96870000,32.86220000,32.88000000,10466.91000000,1618286399999,344474.53119500
1618286400000,32.87370000,33.04590000,32.85900000,32.88410000,17260.25000000,1618287299999,568624.80671200
1618287300000,32.88830000,32.98150000,32.81980000,32.89590000,18846.83000000,1618288199999,619684.69396300
1618288200000,32.89800000,32.90080000,32.66660000,32.71390000,33657.78000000,1618289099999,1103414.29080500
1618289100000,32.71530000,32.90750000,32.71530000,32.88400000,19480.45000000,1618289999999,639611.41179700
1618290000000,32.88470000,32.90730000,32.79000000,32.83940000,10348.03000000,1618290899999,339930.53786200
1618290900000,32.83690000,32.96380000,32.80260000,32.93120000,15592.22000000,1618291799999,513107.59519000
1618291800000,32.94290000,32.97150000,32.82760000,32.90320000,30089.69000000,1618292699999,990035.48420900
1618292700000,32.90340000,32.97120000,32.70720000,32.74430000,28961.10000000,1618293599999,950710.00808900
1618293600000,32.74900000,33.00400000,32.70250000,33.00400000,37268.24000000,1618294499999,1223959.69682400
